2 2.0017847418785095e-05 0
4 1.9386847270652652e-05 0
8 1.9220897229388356e-05 0
16 1.8936159904114902e-05 0
32 1.8190810806117952e-05 0
64 2.357954508624971e-05 0
128 2.2703679860569537e-05 0
256 5.454831989482045e-05 0
512 2.539002161938697e-05 0
1024 2.8604845283553004e-05 0
2048 2.8884431230835617e-05 0
4096 2.999631396960467e-05 0
8192 3.572825517039746e-05 0
16384 5.442766996566206e-05 0
32768 5.2126822993159294e-05 0
65536 7.685752643737942e-05 0
131072 0.0001209673355333507 0
262144 0.0007420511974487454 0
524288 0.0014121771382633597 0
1048576 0.003157295024720952 0
2097152 0.004986511485185474 0
4194304 0.00783671198587399 0
8388608 0.01280014765507076 0
16777216 0.022911027423106134 0
33554432 0.04701027233386412 0
67108864 0.10629881024942733 0
134217728 0.21889995348465163 0
268435456 0.48516090914199594 0
536870912 0.9413878089835634 0
